text,n,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@iliyasudennis2 Only if you short $tsla ;),FALSE,0,iliyasudennis2,22-01-2022 05:30,FALSE,1.48474E+18,1.48476E+18,3200499176,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",amitdas0608,0,FALSE,FALSE,NA,NA
"Self driving cars will never happen, $TSLA is going to zero.

Quantum computers will never happen, $IONQ is going t… https://t.co/PrUNVNp48P",FALSE,2,NA,22-01-2022 05:29,TRUE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",elwalvador,1,FALSE,FALSE,NA,NA
"RT @AlternateJones: My $TSLA returns ranged from -50% to -5% for 6.5 years from Dec 2013 to May 2020. 

6.5 years!

Patience is the key!",FALSE,0,NA,22-01-2022 05:29,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AMCBullrun,4,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:28,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ArvindKajala,15,TRUE,FALSE,NA,NA
RT @garyblack00: $TSLA and $NDX today. https://t.co/6Wbw3ps3iQ,FALSE,0,NA,22-01-2022 05:28,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",VirtusT,26,TRUE,FALSE,NA,NA
"RT @squawksquare: On a positive note, I woke up to 40K followers today. Thank you everyone for the follows. One of these days we'll get bac…",FALSE,0,NA,22-01-2022 05:27,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vovan17842399,8,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:27,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",saturos_1,15,TRUE,FALSE,NA,NA
As valid an approach as any I've seen. $tslaQ $TSLA https://t.co/UFTuaeyATU,FALSE,0,NA,22-01-2022 05:26,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Paul91701736,0,FALSE,FALSE,NA,NA
"RT @pakpakchicken: My initial target for tesla deliveries 2022 was 1.3 million. Thats $tsla $1600

That was 3 yrs ago. 

With revised 2022…",FALSE,0,NA,22-01-2022 05:26,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kennych88527377,120,TRUE,FALSE,NA,NA
RT @teslaunivrse: Reasons to Sell… $TSLA https://t.co/PVkb4i8TMq,FALSE,0,NA,22-01-2022 05:26,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AnnaSky92974146,4,TRUE,FALSE,NA,NA
Never fall for the FUD!!! LFG $TSLA !!! 🚀🚀🚀🌕 https://t.co/h84juMzaIH,FALSE,4,NA,22-01-2022 05:26,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",to4sho,0,FALSE,FALSE,NA,NA
"RT @bevedoni: if you panic now, you will panic the rest of your life. $tsla",FALSE,0,NA,22-01-2022 05:25,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",teshen8lin,16,TRUE,FALSE,NA,NA
"RT @pakpakchicken: My initial target for tesla deliveries 2022 was 1.3 million. Thats $tsla $1600

That was 3 yrs ago. 

With revised 2022…",FALSE,0,NA,22-01-2022 05:25,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Froger_19,120,TRUE,FALSE,NA,NA
"RT @jasondebolt: When you invest, it’s not your money anymore. It’s allocated capital. Detachment is essential. It’s a long term game.

Man…",FALSE,0,NA,22-01-2022 05:24,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RalphGorichanaz,59,TRUE,FALSE,NA,NA
"RT @WholeMarsBlog: FSD Beta 10.9 crosses the Golden Gate Bridge 🌉

$TSLA @elonmusk https://t.co/RCoN6IdgZd https://t.co/UUZtlTtp2M",FALSE,0,NA,22-01-2022 05:24,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Assassi83762414,13,TRUE,FALSE,NA,NA
"RT @InvestrTrades: TODAYS Recap! 🔥

$COIN puts paid 700%!!💰💰💰💵🤑
$UPST puts paid 350%!!💰💰💵🤑
$LAZR puts paid 300%!!💰💵🤑
$SQ puts paid 220%!!💵💰…",FALSE,0,NA,22-01-2022 05:24,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lion_paw24,21,TRUE,FALSE,NA,NA
"I just multiplied my current $TSLA stock count, with my 2030 TSLA price target. It made me smile 😊",FALSE,30,NA,22-01-2022 05:24,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TeslaAndDoge,0,FALSE,FALSE,NA,NA
RT @JesseCohenInv: $AAPL $MSFT $GOOGL $AMZN $TSLA https://t.co/dpEkl1BpZs,FALSE,0,NA,22-01-2022 05:24,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arvind_sista,197,TRUE,FALSE,NA,NA
"RT @MmeAlexandraS: Evening email from ARKinvest - no movements in $TSLA.  Fwiw, in $ARKK and $ARKW sales of Twitter to purchase ROKU, Coinb…",FALSE,0,NA,22-01-2022 05:24,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ray_hessel,2,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:23,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",imperative_the,15,TRUE,FALSE,NA,NA
"RT @SawyerMerritt: Sad to see others shame people who don't own Teslas yet, even if they like/support the company in others ways. Just beca…",FALSE,0,NA,22-01-2022 05:23,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Diesel60250598,53,TRUE,FALSE,NA,NA
RT @GerberKawasaki: Just to note. There has not been one accident or injury since FSD beta launch. Not one. Not a single one. In that time…,FALSE,0,NA,22-01-2022 05:23,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",missufekun,873,TRUE,FALSE,NA,NA
"Next week for $tsla will be wild (in a good way), earnings are going to be great.  We'll see more inflows into Tesl… https://t.co/8YqvtTNR0u",FALSE,0,NA,22-01-2022 05:23,TRUE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",eddiek2,1,FALSE,FALSE,NA,NA
"RT @MarketRebels: Intraday Option Volume 

$AAPL 1.119m (53% call/47% put)
$TSLA 1.112m (49% call/51% put)
$NVDA 688k (55% call/45% put)
$F…",FALSE,0,NA,22-01-2022 05:23,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Colin41008222,7,TRUE,FALSE,NA,NA
RT @heydave7: What happened to the argument that $TSLA loses money on every car it sells? 🤣,FALSE,0,NA,22-01-2022 05:22,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",missufekun,179,TRUE,FALSE,NA,NA
"RT @ST_Charts: Real reason why market is selling off.... 

""I wont let go Jack""

$AMZN $AMD $AAPL $AMC $GME $BA $MRNA $PLTR $FB $ABNB $GOOG…",FALSE,0,NA,22-01-2022 05:22,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",margzilla123,1,TRUE,FALSE,NA,NA
"RT @jhall: Here’s a bit I recorded on my phone from when it aired, since CNBC decided to edit their bit only to the garbage part of his pie…",FALSE,0,NA,22-01-2022 05:21,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",missufekun,81,TRUE,FALSE,NA,NA
"RT @JaguarAHD: If this market left you frustrated, take a look at the chart below — patience always pays back! 📉📈

$AMZN $MSFT $GOOG $FUBO…",FALSE,0,NA,22-01-2022 05:21,FALSE,NA,1.48476E+18,NA,"<a href=""https://gambiste.com"" rel=""nofollow"">Gambiste</a>",Gambiste1,2,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:21,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ElfegoGomezRam1,15,TRUE,FALSE,NA,NA
"RT @WholeMarsBlog: Here's a 40-minute drive from my friend's house to Tesla competitor Green Hills Software's offices, and then to Tesla Pa…",FALSE,0,NA,22-01-2022 05:21,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",missufekun,482,TRUE,FALSE,NA,NA
RT @The_RockTrading: Imagine $TSLA back to 400. 💥 goodnight.,FALSE,0,NA,22-01-2022 05:21,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GodTradding,4,TRUE,FALSE,NA,NA
This random poll shows nobody actually knows what $TSLA is worth. It's rather just a best guess based on one's perc… https://t.co/wxzFoT9y1X,FALSE,0,NA,22-01-2022 05:21,TRUE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",taranvirkaonke,0,FALSE,FALSE,NA,NA
RT @The_RockTrading: Imagine $TSLA back to 400. 💥 goodnight.,FALSE,0,NA,22-01-2022 05:21,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rolo_d0me,4,TRUE,FALSE,NA,NA
"RT @bevedoni: Tesla is a collection of a lot of startups, all of which are very successful in their setup and grow in a parallel speed. Tes…",FALSE,0,NA,22-01-2022 05:20,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",missufekun,157,TRUE,FALSE,NA,NA
RT @stockversus: @elonmusk can f*k up Kenny plans if he announces he’s buying #bitcoin lol where is our hero? $GME $AMC $TSLA,FALSE,0,NA,22-01-2022 05:20,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",margzilla123,1,TRUE,FALSE,NA,NA
"RT @jasondebolt: If investing were easy, everyone would be rich.

The same people who call you lucky for your investment gains are the ones…",FALSE,0,NA,22-01-2022 05:19,FALSE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",lingua_nut,91,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:19,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kyawmyowin16,15,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:19,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dingdong290,15,TRUE,FALSE,NA,NA
@ValueAnalyst1 $TSLA one day will buy $AMZN as subsidiary haha,FALSE,0,ValueAnalyst1,22-01-2022 05:19,FALSE,1.48476E+18,1.48476E+18,7.32548E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",teshen8lin,0,FALSE,FALSE,NA,NA
"RT @ripster47: $NFLX $PTON $SHOP $TSLA #tradingtips 
Trade examples on how to use a System

Trend Following System + Support Resistance + M…",FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Gobongch,24,TRUE,FALSE,NA,NA
$CENN guys let’s be honest this could literally just blow up and hit $5 $6 or more without any news. We just have t… https://t.co/y1vtyEuneu,FALSE,0,NA,22-01-2022 05:18,TRUE,NA,1.48476E+18,NA,"<a href=""https://metoomovement.com"" rel=""nofollow"">#metoo - Sentiment Analysis</a>",Sagar91319679,0,FALSE,FALSE,NA,NA
RT @JesseCohenInv: $AAPL $MSFT $GOOGL $AMZN $TSLA https://t.co/dpEkl1BpZs,FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",immersibles,197,TRUE,FALSE,NA,NA
⁦@elonmusk⁩ constantly lie investor; ⁦@SECGov⁩ should look into his tweet which is clear manipulation. Last year he… https://t.co/WMC1MmOc2p,FALSE,1,NA,22-01-2022 05:18,TRUE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",freefdacalendar,0,FALSE,FALSE,NA,NA
. @chrislarsensf warned you $TSLA dumps revealed next https://t.co/rZRIr4vCaK,FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TradersonTrade,0,FALSE,FALSE,NA,NA
"RT @blueskykites: Hodling is conviction. #Buythedip #dollarcostaveraging $TSLA #Tesla @Tesla

@WholeMarsBlog @TeslaHype https://t.co/sMdi3r…",FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rand0mNPC,4,TRUE,FALSE,NA,NA
RT @JustinScerini: $Doge #Dogecoin exchange rate now changed get on the $Tsla merch shop https://t.co/HKsZ4OtSHF,FALSE,0,NA,22-01-2022 05:18,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DogecoinTweet,15,TRUE,FALSE,NA,NA
"RT @jasondebolt: When you invest, it’s not your money anymore. It’s allocated capital. Detachment is essential. It’s a long term game.

Man…",FALSE,0,NA,22-01-2022 05:17,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rsoltis417,59,TRUE,FALSE,NA,NA
"5 Bad Habits of An Options Trader (and the Solutions)

https://t.co/l15qXYlial

$spy $aapl $tsla",FALSE,0,NA,22-01-2022 05:17,FALSE,NA,1.48476E+18,NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">smartoptionsai</a>",SmartOptionsAi,0,FALSE,FALSE,NA,NA
Subscribe to this incredible high return trading model: https://t.co/ZZmx60Yu6o $VIX $SPY $AAPL $TSLA $FB $AMZN $GOOGL $NFLX,FALSE,0,NA,22-01-2022 05:17,FALSE,NA,1.48476E+18,NA,"<a href=""https://profectussystems.autotradenow.com/"" rel=""nofollow"">Profectus Systems App</a>",ProfectuSystems,0,FALSE,FALSE,NA,NA
Reasons to Sell… $TSLA https://t.co/PVkb4i8TMq,FALSE,20,NA,22-01-2022 05:16,FALSE,NA,1.48476E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",teslaunivrse,4,FALSE,FALSE,NA,NA
~I'm part of a server where top traders actually get paid based on results (over $70k last month). All based on mer… https://t.co/4FHu6sIZSy,FALSE,0,NA,22-01-2022 05:16,TRUE,NA,1.48476E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",dixiw166,0,FALSE,FALSE,NA,NA
